Rk,Player,Age,Team,Pos,G,GS,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,Lng,FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg,Awards,-9999
1,Jason Myers,32,SEA,K,17,0,0,0,8,8,12,11,14,12,8,4,42,35,55,83.3,33,33,100.0,86,5430,55,64.0,63,,MyerJa00
2,Matt Gay,29,IND,K,17,0,0,0,9,9,10,9,9,7,13,8,41,33,57,80.5,36,35,97.2,92,5898,72,78.3,64,,GayxMa00
3,Brandon Aubrey,28,DAL,K,17,0,0,0,9,9,15,13,4,4,10,10,38,36,60,94.7,52,49,94.2,109,7068,99,90.8,65,PBAP-1,AubrBr00
4,Cairo Santos,32,CHI,K,17,0,0,0,9,9,11,11,10,8,8,7,38,35,55,92.1,33,31,93.9,76,4830,60,78.9,64,,SantCa01
5,Greg Zuerlein,36,NYJ,K,16,0,0,0,8,8,10,9,14,13,6,5,38,35,55,92.1,16,15,93.8,64,4150,58,90.6,65,,ZuerGr00
6,Blake Grupe,25,NOR,K,17,0,0,0,12,10,6,6,10,8,9,6,37,30,55,81.1,40,40,100.0,91,5828,76,83.5,64,,GrupBl00
7,Younghoe Koo,29,ATL,K,17,0,0,0,10,10,10,10,11,9,6,3,37,32,54,86.5,28,27,96.4,3,192,2,66.7,64,,KooxYo00
8,Brandon McManus,32,JAX,K,17,0,0,0,4,4,10,10,13,11,10,5,37,30,56,81.1,35,35,100.0,86,5421,65,75.6,63,,McMaBr01
9,Justin Tucker,34,BAL,K,17,0,0,0,10,10,10,10,12,11,5,1,37,32,50,86.5,52,51,98.1,101,6445,80,79.2,64,PB,TuckJu00
10,Dustin Hopkins,33,CLE,K,15,0,0,0,8,8,7,7,13,10,8,8,36,33,58,91.7,26,24,92.3,77,4890,50,64.9,64,,HopkDu00
11,Harrison Butker,28,KAN,K,17,0,0,0,8,8,15,13,7,7,5,5,35,33,60,94.3,38,38,100.0,85,5565,74,87.1,66,,ButkHa00
12,Wil Lutz,29,DEN,K,17,0,0,0,11,11,13,12,5,4,5,3,34,30,52,88.2,31,29,93.5,81,5123,71,87.7,63,,LutzWi00
13,Anders Carlson,25,GNB,K,17,0,0,0,6,6,14,14,8,4,5,3,33,27,53,81.8,39,34,87.2,86,5466,37,43.0,64,,CarlAn00
14,Cameron Dicker,23,LAC,K,17,0,0,0,7,7,8,8,9,9,9,7,33,31,55,93.9,35,35,100.0,81,5168,68,84.0,64,,DickCa00
15,Matt Prater,39,ARI,K,17,0,0,0,6,6,8,7,7,6,12,9,33,28,62,84.8,23,22,95.7,79,4842,66,83.5,61,,PratMa20
16,Jake Elliott,28,PHI,K,17,0,0,0,9,9,8,7,7,7,8,7,32,30,61,93.8,46,45,97.8,91,5846,73,80.2,64,AP-2,ElliJa03
17,Chris Boswell,32,PIT,K,17,0,0,0,9,9,7,7,8,7,7,6,31,29,57,93.5,28,27,96.4,76,4833,55,72.4,64,,BoswCh00
18,Chase McLaughlin,27,TAM,K,17,0,0,0,8,8,12,12,3,2,8,7,31,29,57,93.5,33,33,100.0,4,255,3,75.0,64,,McLaCh00
19,Evan McPherson,24,CIN,K,17,0,0,0,5,5,6,6,8,8,12,7,31,26,56,83.9,40,40,100.0,82,5162,63,76.8,63,,McPhEv00
20,Daniel Carlson,28,LVR,K,17,0,0,0,10,10,7,6,10,9,3,1,30,26,54,86.7,32,32,100.0,78,4977,48,61.5,64,,CarlDa00
21,Nick Folk,39,TEN,K,17,0,0,0,9,9,9,9,6,6,6,5,30,29,53,96.7,30,28,93.3,63,3927,32,50.8,62,,FolkNi20
22,Greg Joseph,29,MIN,K,17,0,1,1,7,7,9,9,6,3,7,4,30,24,54,80.0,38,36,94.7,79,5084,61,77.2,64,,JoseGr00
23,Tyler Bass,26,BUF,K,17,0,0,0,4,4,13,12,6,4,6,4,29,24,54,82.8,50,49,98.0,95,5952,53,55.8,63,,BassTy00
24,Eddy Piñeiro,28,CAR,K,15,0,0,0,6,6,7,7,9,7,7,5,29,25,56,86.2,20,17,85.0,57,3532,36,63.2,62,,PineEd00
25,Ka'imi Fairbairn,29,HOU,K,12,0,0,0,10,10,10,10,2,2,6,5,28,27,54,96.4,22,21,95.5,58,3624,37,63.8,63,,FairKa01
26,Jason Sanders,28,MIA,K,17,0,0,0,6,6,7,7,8,6,7,5,28,24,57,85.7,59,58,98.3,90,5803,76,84.4,65,,SandJa00
27,Jake Moody,24,SFO,K,17,0,0,0,7,7,9,8,6,4,3,2,25,21,57,84.0,61,60,98.4,90,5680,54,60.0,63,,MoodJa00
28,Chad Ryland,24,NWE,K,17,0,0,0,4,4,7,5,10,5,4,2,25,16,56,64.0,25,24,96.0,60,3814,39,65.0,64,,RylaCh00
