Rk,Player,Age,Team,Pos,G,GS,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,Lng,FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg,Awards,-9999
29,Joey Slye,27,WAS,K,17,0,0,0,3,2,7,7,9,7,5,3,24,19,61,79.2,35,32,91.4,72,4520,64,88.9,63,,SlyeJo00
30,Brett Maher,34,LAR,K,8,0,0,0,3,3,4,4,9,7,7,3,23,17,54,73.9,15,13,86.7,2,56,0,0.0,28,,MaheBr01
31,Lucas Havrisik,24,LAR,K,9,0,0,0,8,8,3,3,6,2,3,2,20,15,52,75.0,22,19,86.4,8,524,7,87.5,66,,HavrLu00
32,Graham Gano,36,NYG,K,8,0,0,0,2,2,5,3,6,3,4,3,17,11,57,64.7,8,8,100.0,28,1819,23,82.1,65,,GanoGr44
33,Riley Patterson,24,2TM,K,15,0,0,0,3,2,11,11,2,2,2,1,18,16,52,88.9,44,41,93.2,16,969,6,37.5,61,,PattRi01
33,Riley Patterson,24,DET,K,13,0,0,0,3,2,10,10,2,2,2,1,17,15,52,88.2,37,35,94.6,6,326,2,33.3,54,,PattRi01
33,Riley Patterson,24,CLE,K,2,0,0,0,0,0,1,1,0,0,0,0,1,1,33,100.0,7,6,85.7,10,643,4,40.0,64,,PattRi01
34,Matt Ammendola,27,HOU,K,5,0,0,0,2,2,3,3,2,1,2,0,9,6,45,66.7,11,10,90.9,22,1402,16,72.7,64,,AmmeMa00
35,Mason Crosby,39,NYG,K,3,0,0,0,2,2,2,2,1,0,2,1,7,5,52,71.4,7,6,85.7,16,972,2,12.5,61,,CrosMa20
36,Randy Bullock,34,NYG,K,6,0,0,0,0,0,2,2,3,2,1,1,6,5,56,83.3,10,10,100.0,20,1268,13,65.0,63,,BullRa00
37,Michael Badgley,28,DET,K,4,0,0,0,0,0,3,3,1,1,0,0,4,4,41,100.0,15,13,86.7,1,10,0,0.0,10,,BadgMi00
38,Jamie Gillan,26,NYG,P,17,0,0,0,0,0,0,0,1,1,0,0,1,1,40,100.0,0,0,,1,51,0,0.0,51,,GillJa00
39,Dare Ogunbowale,29,HOU,RB,12,0,0,0,1,1,0,0,0,0,0,0,1,1,29,100.0,0,0,,6,331,3,50.0,55,,OgunDa00
40,Austin Seibert,27,NYJ,K,1,0,0,0,0,0,1,1,0,0,0,0,1,1,34,100.0,1,1,100.0,3,176,2,66.7,59,,SeibAu00
41,Matthew Wright,27,CAR,K,1,0,0,0,0,0,0,0,0,0,1,0,1,0,,0.0,0,0,,1,65,1,100.0,65,,WrigMa00
42,Jake Bailey,26,MIA,P,17,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,8,524,7,87.5,66,,BailJa00
43,Bryce Baringer,24,NWE,P,17,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,1,16,0,0.0,16,,BariBr00
44,D'Anthony Bell,27,CLE,S,17,4,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,1,42,0,0.0,42,,BellDA03
45,Corey Bojorquez,27,CLE,P,16,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,4,230,0,0.0,58,,BojoCo00
46,Jake Camarda,24,TAM,P,17,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,78,4869,49,62.8,62,,CamaJa00
47,Riley Dixon,30,DEN,P,17,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,1,67,0,0.0,67,,DixoRi00
48,Ethan Evans,22,LAR,P,17,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,82,5285,73,89.0,65,,EvanEt00
49,Jack Fox,27,DET,P,17,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,86,5482,58,67.4,64,,FoxxJa01
50,Trenton Gill,24,CHI,P,17,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,13,794,11,84.6,61,,GillTr01
51,Kamu Grugier-Hill,29,CAR,LB,17,5,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,3,142,0,0.0,47,,GrugKa00
52,Johnny Hekker,33,CAR,P,17,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,1,10,0,0.0,10,,HekkJo00
53,Cameron Johnston,31,HOU,P,13,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,1,67,0,0.0,67,,JohnCa02
54,Thomas Morstead,37,NYJ,P,17,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,6,325,2,33.3,54,,MorsTh00
55,Bradley Pinion,29,ATL,P,17,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,76,4936,64,84.2,65,,PiniBr00
56,Rigoberto Sanchez,29,IND,P,17,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,1,62,0,0.0,62,,SancRi00
57,Jordan Stout,25,BAL,P,17,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,3,193,0,0.0,64,,StouJo00
58,Mitch Wishnowsky,31,SFO,P,17,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,7,451,4,57.1,64,,WishMi00
59,Ryan Wright,23,MIN,P,17,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,1,47,0,0.0,47,,WrigRy00
60,Ty Zentner,25,2TM,K,9,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,9,581,2,22.2,65,,ZentTy00
60,Ty Zentner,25,TEN,P,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,9,581,2,22.2,65,,ZentTy00
,League Average,,,,,,,,,,,,,,,,,,,85.9,,,95.9,,,,73.0,63,,-9999
